src_node	dst_node	tolerance	dstIps	sat/unsat	Conflicts	Decisions	TotalTime	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints	MincutTime	PruneTime	CompressionTime	ToleranceOrigin	TolerancePrune	ToleranceCompression
nodeid44	nodeid45	1	IpWildcardIpSpace{ipWildcard=100.0.53.0/24}	unsat	1461	6518	1276.0	1131.0	1131.0	1131.0	1.131	1.131	1.131	112.0	FastEthernet0/0	3096.0	6516.0	0.0	168569.0	616051.0	85.0	72.0	39.0
nodeid44	nodeid45	2	IpWildcardIpSpace{ipWildcard=100.0.53.0/24}	unsat	4721	15001	3863.0	3716.0	3716.0	3716.0	3.715	3.715	3.715	113.0	FastEthernet0/0	3096.0	6516.0	0.0	192587.0	714614.0	85.0	72.0	39.0
nodeid44	nodeid45	3	IpWildcardIpSpace{ipWildcard=100.0.53.0/24}	unsat	12397	21297	11274.0	11129.0	11129.0	11129.0	11.128	11.128	11.128	112.0	FastEthernet0/0	3096.0	6516.0	0.0	156872.0	593977.0	85.0	72.0	39.0
nodeid31	nodeid44	1	IpWildcardIpSpace{ipWildcard=100.0.54.0/24}	unsat	1501	6959	1422.0	1289.0	1289.0	1289.0	1.289	1.289	1.289	103.0	FastEthernet0/0	3096.0	6516.0	1.0	114835.0	279111.0	85.0	72.0	39.0
nodeid31	nodeid44	2	IpWildcardIpSpace{ipWildcard=100.0.54.0/24}	unsat	3846	10443	3175.0	3040.0	3040.0	3040.0	3.039	3.039	3.039	104.0	FastEthernet0/0	3096.0	6516.0	1.0	134113.0	276469.0	85.0	72.0	39.0
nodeid31	nodeid44	3	IpWildcardIpSpace{ipWildcard=100.0.54.0/24}	unsat	12714	24754	10778.0	10645.0	10645.0	10645.0	10.644	10.644	10.644	102.0	FastEthernet0/0	3096.0	6516.0	0.0	112114.0	264008.0	85.0	72.0	39.0
nodeid45	nodeid44	1	IpWildcardIpSpace{ipWildcard=100.0.54.0/24}	unsat	1323	6247	1192.0	1058.0	1058.0	1058.0	1.057	1.057	1.057	104.0	FastEthernet0/0	3096.0	6516.0	1.0	138609.0	306530.0	85.0	72.0	39.0
nodeid45	nodeid44	2	IpWildcardIpSpace{ipWildcard=100.0.54.0/24}	unsat	4496	12250	3779.0	3637.0	3637.0	3637.0	3.637	3.637	3.637	108.0	FastEthernet0/0	3096.0	6516.0	0.0	141109.0	331612.0	85.0	72.0	39.0
nodeid45	nodeid44	3	IpWildcardIpSpace{ipWildcard=100.0.54.0/24}	unsat	13926	24215	12240.0	12104.0	12104.0	12104.0	12.104	12.104	12.104	107.0	FastEthernet0/0	3096.0	6516.0	1.0	134540.0	325104.0	85.0	72.0	39.0
nodeid59	nodeid1	1	IpWildcardIpSpace{ipWildcard=100.0.38.0/24}	unsat	1338	5026	1249.0	1088.0	1088.0	1088.0	1.088	1.088	1.088	124.0	FastEthernet0/0	3096.0	6517.0	0.0	163597.0	339020.0	85.0	72.0	39.0
nodeid59	nodeid1	2	IpWildcardIpSpace{ipWildcard=100.0.38.0/24}	unsat	4005	11447	3886.0	3731.0	3731.0	3731.0	3.731	3.731	3.731	122.0	FastEthernet0/0	3096.0	6517.0	0.0	136962.0	322359.0	85.0	72.0	39.0
nodeid59	nodeid1	3	IpWildcardIpSpace{ipWildcard=100.0.38.0/24}	unsat	13824	25671	11921.0	11760.0	11760.0	11760.0	11.759	11.759	11.759	130.0	FastEthernet0/0	3096.0	6517.0	0.0	189368.0	447500.0	85.0	72.0	39.0
nodeid31	nodeid59	1	IpWildcardIpSpace{ipWildcard=100.0.23.0/24}	unsat	1252	7303	1089.0	955.0	955.0	955.0	0.955	0.955	0.955	103.0	FastEthernet0/0	3096.0	6516.0	1.0	128935.0	301467.0	85.0	72.0	39.0
nodeid31	nodeid59	2	IpWildcardIpSpace{ipWildcard=100.0.23.0/24}	unsat	3680	10675	3762.0	3637.0	3637.0	3637.0	3.637	3.637	3.637	98.0	FastEthernet0/0	3096.0	6516.0	0.0	123622.0	307925.0	85.0	72.0	39.0
nodeid31	nodeid59	3	IpWildcardIpSpace{ipWildcard=100.0.23.0/24}	unsat	19918	32786	17419.0	17133.0	17133.0	17133.0	17.132	17.132	17.132	104.0	FastEthernet0/0	3096.0	6516.0	1.0	107204.0	244789.0	85.0	72.0	39.0
nodeid45	nodeid59	1	IpWildcardIpSpace{ipWildcard=100.0.23.0/24}	unsat	1409	7106	1255.0	1115.0	1115.0	1115.0	1.114	1.114	1.114	109.0	FastEthernet0/0	3096.0	6517.0	0.0	152672.0	358992.0	85.0	72.0	40.0
nodeid45	nodeid59	2	IpWildcardIpSpace{ipWildcard=100.0.23.0/24}	unsat	3892	10683	3353.0	3215.0	3215.0	3215.0	3.214	3.214	3.214	105.0	FastEthernet0/0	3096.0	6517.0	0.0	119362.0	269669.0	85.0	72.0	40.0
nodeid45	nodeid59	3	IpWildcardIpSpace{ipWildcard=100.0.23.0/24}	unsat	17161	28736	14022.0	13888.0	13888.0	13888.0	13.888	13.888	13.888	103.0	FastEthernet0/0	3096.0	6517.0	0.0	109236.0	254935.0	85.0	72.0	40.0
nodeid31	nodeid45	1	IpWildcardIpSpace{ipWildcard=100.0.53.0/24}	unsat	1449	6473	1336.0	1206.0	1206.0	1206.0	1.206	1.206	1.206	102.0	FastEthernet0/0	3096.0	6516.0	0.0	106622.0	238291.0	85.0	72.0	39.0
nodeid31	nodeid45	2	IpWildcardIpSpace{ipWildcard=100.0.53.0/24}	unsat	4069	11049	3465.0	3330.0	3330.0	3330.0	3.329	3.329	3.329	106.0	FastEthernet0/0	3096.0	6516.0	0.0	152879.0	354728.0	85.0	72.0	39.0
nodeid31	nodeid45	3	IpWildcardIpSpace{ipWildcard=100.0.53.0/24}	unsat	16233	28353	13539.0	13406.0	13406.0	13406.0	13.406	13.406	13.406	102.0	FastEthernet0/0	3096.0	6516.0	0.0	145275.0	358635.0	85.0	72.0	39.0
nodeid45	nodeid1	1	IpWildcardIpSpace{ipWildcard=100.0.38.0/24}	unsat	1455	6099	1554.0	1284.0	1284.0	1284.0	1.284	1.284	1.284	243.0	FastEthernet0/0	3096.0	6517.0	1.0	136781.0	316003.0	85.0	72.0	39.0
nodeid45	nodeid1	2	IpWildcardIpSpace{ipWildcard=100.0.38.0/24}	unsat	4596	11218	4353.0	4222.0	4222.0	4222.0	4.221	4.221	4.221	101.0	FastEthernet0/0	3096.0	6517.0	1.0	152440.0	274308.0	85.0	72.0	39.0
nodeid45	nodeid1	3	IpWildcardIpSpace{ipWildcard=100.0.38.0/24}	unsat	16593	29235	14884.0	14753.0	14753.0	14753.0	14.752	14.752	14.752	100.0	FastEthernet0/0	3096.0	6517.0	0.0	115356.0	237389.0	85.0	72.0	39.0
nodeid44	nodeid59	1	IpWildcardIpSpace{ipWildcard=100.0.23.0/24}	unsat	1308	6330	1160.0	1031.0	1031.0	1031.0	1.03	1.03	1.03	99.0	FastEthernet0/0	3096.0	6517.0	0.0	125913.0	255387.0	85.0	72.0	40.0
nodeid44	nodeid59	2	IpWildcardIpSpace{ipWildcard=100.0.23.0/24}	unsat	3689	10323	3328.0	3201.0	3201.0	3201.0	3.2	3.2	3.2	99.0	FastEthernet0/0	3096.0	6517.0	0.0	121741.0	254856.0	85.0	72.0	40.0
nodeid44	nodeid59	3	IpWildcardIpSpace{ipWildcard=100.0.23.0/24}	unsat	14869	25946	11958.0	11831.0	11831.0	11831.0	11.831	11.831	11.831	98.0	FastEthernet0/0	3096.0	6517.0	0.0	115137.0	277152.0	85.0	72.0	40.0
nodeid44	nodeid1	1	IpWildcardIpSpace{ipWildcard=100.0.38.0/24}	unsat	1488	6501	1259.0	1123.0	1123.0	1123.0	1.122	1.122	1.122	106.0	FastEthernet0/0	3096.0	6517.0	0.0	144746.0	322548.0	85.0	72.0	39.0
nodeid44	nodeid1	2	IpWildcardIpSpace{ipWildcard=100.0.38.0/24}	unsat	4354	11469	3417.0	3289.0	3289.0	3289.0	3.288	3.288	3.288	98.0	FastEthernet0/0	3096.0	6517.0	0.0	136712.0	249421.0	85.0	72.0	39.0
nodeid44	nodeid1	3	IpWildcardIpSpace{ipWildcard=100.0.38.0/24}	unsat	15816	26987	13632.0	13499.0	13499.0	13499.0	13.499	13.499	13.499	105.0	FastEthernet0/0	3096.0	6517.0	0.0	125951.0	249976.0	85.0	72.0	39.0
nodeid31	nodeid1	1	IpWildcardIpSpace{ipWildcard=100.0.38.0/24}	unsat	1480	6232	1401.0	1268.0	1268.0	1268.0	1.267	1.267	1.267	103.0	FastEthernet0/0	3096.0	6517.0	1.0	112823.0	259359.0	85.0	72.0	39.0
nodeid31	nodeid1	2	IpWildcardIpSpace{ipWildcard=100.0.38.0/24}	unsat	3887	10914	3514.0	3387.0	3387.0	3387.0	3.387	3.387	3.387	99.0	FastEthernet0/0	3096.0	6517.0	0.0	119545.0	253574.0	85.0	72.0	39.0
nodeid31	nodeid1	3	IpWildcardIpSpace{ipWildcard=100.0.38.0/24}	unsat	14112	24148	11247.0	11112.0	11112.0	11112.0	11.111	11.111	11.111	105.0	FastEthernet0/0	3096.0	6517.0	1.0	133653.0	280370.0	85.0	72.0	39.0
nodeid59	nodeid31	1	IpWildcardIpSpace{ipWildcard=100.0.9.0/24}	unsat	1544	7080	1501.0	1376.0	1376.0	1376.0	1.375	1.375	1.375	96.0	FastEthernet0/0	3096.0	6516.0	0.0	104144.0	238043.0	85.0	72.0	39.0
nodeid59	nodeid31	2	IpWildcardIpSpace{ipWildcard=100.0.9.0/24}	unsat	4746	12559	4116.0	3992.0	3992.0	3992.0	3.992	3.992	3.992	96.0	FastEthernet0/0	3096.0	6516.0	0.0	111017.0	234540.0	85.0	72.0	39.0
nodeid59	nodeid31	3	IpWildcardIpSpace{ipWildcard=100.0.9.0/24}	unsat	16096	28831	14267.0	14146.0	14146.0	14146.0	14.145	14.145	14.145	94.0	FastEthernet0/0	3096.0	6516.0	1.0	106756.0	217497.0	85.0	72.0	39.0
