src_node	dst_node	tolerance	dstIps	sat/unsat	Conflicts	Decisions	TotalTime	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints	MincutTime	PruneTime	CompressionTime	ToleranceOrigin	TolerancePrune	ToleranceCompression
yemassee	augusta	1	IpWildcardIpSpace{ipWildcard=100.0.21.0/24}	sat	1242	10546	2050.0	1663.0	1663.0	1663.0	1.663	1.663	1.663	242.0	FastEthernet0/0	6714.0	14142.0	1.0	250626.0	553052.0	189.0	126.0	61.0
yemassee	augusta	2	IpWildcardIpSpace{ipWildcard=100.0.21.0/24}	sat	1247	11913	1847.0	1496.0	1496.0	1496.0	1.495	1.495	1.495	236.0	FastEthernet0/0	6714.0	14142.0	0.0	252836.0	607937.0	189.0	126.0	61.0
yemassee	augusta	3	IpWildcardIpSpace{ipWildcard=100.0.21.0/24}	sat	1627	14057	2550.0	2176.0	2176.0	2176.0	2.175	2.175	2.175	243.0	FastEthernet0/0	6714.0	14142.0	1.0	245941.0	563319.0	189.0	126.0	61.0
augusta	yemassee	1	IpWildcardIpSpace{ipWildcard=100.0.22.0/24}	sat	1463	21204	2433.0	2105.0	2105.0	2105.0	2.105	2.105	2.105	220.0	FastEthernet0/0	6714.0	14142.0	1.0	250425.0	628025.0	189.0	126.0	61.0
augusta	yemassee	2	IpWildcardIpSpace{ipWildcard=100.0.22.0/24}	sat	1342	10779	1952.0	1628.0	1628.0	1628.0	1.627	1.627	1.627	215.0	FastEthernet0/0	6714.0	14142.0	1.0	180128.0	426625.0	189.0	126.0	61.0
augusta	yemassee	3	IpWildcardIpSpace{ipWildcard=100.0.22.0/24}	sat	1134	12626	1742.0	1429.0	1429.0	1429.0	1.428	1.428	1.428	209.0	FastEthernet0/0	6714.0	14142.0	0.0	182970.0	441885.0	189.0	126.0	61.0
columbia	augusta	1	IpWildcardIpSpace{ipWildcard=100.0.21.0/24}	sat	1190	10641	1979.0	1637.0	1637.0	1637.0	1.636	1.636	1.636	231.0	FastEthernet0/0	6714.0	14143.0	1.0	202032.0	548031.0	189.0	126.0	62.0
columbia	augusta	2	IpWildcardIpSpace{ipWildcard=100.0.21.0/24}	sat	1288	9649	1723.0	1414.0	1414.0	1414.0	1.413	1.413	1.413	206.0	FastEthernet0/0	6714.0	14143.0	1.0	183016.0	456068.0	189.0	126.0	62.0
columbia	augusta	3	IpWildcardIpSpace{ipWildcard=100.0.21.0/24}	sat	1216	10127	1801.0	1479.0	1479.0	1479.0	1.478	1.478	1.478	217.0	FastEthernet0/0	6714.0	14143.0	0.0	238143.0	547606.0	189.0	126.0	62.0
augusta	columbia	1	IpWildcardIpSpace{ipWildcard=100.0.109.0/24}	sat	1276	8862	1887.0	1562.0	1562.0	1562.0	1.561	1.561	1.561	222.0	FastEthernet0/0	6714.0	14144.0	0.0	179897.0	415012.0	189.0	126.0	62.0
