src_node	dst_node	tolerance	dstIps	sat/unsat	Conflicts	Decisions	TotalTime	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints	MincutTime	PruneTime	CompressionTime	ToleranceOrigin	TolerancePrune	ToleranceCompression
yemassee	augusta	1	IpWildcardIpSpace{ipWildcard=100.0.21.0/24}	unsat	2174	12698	2979.0	2489.0	2489.0	2489.0	2.488	2.488	2.488	370.0	FastEthernet0/0	6872.0	14300.0	5.0	1474038.0	3259960.0	189.0	126.0	61.0
yemassee	augusta	2	IpWildcardIpSpace{ipWildcard=100.0.21.0/24}	unsat	6571	23682	11819.0	11494.0	11494.0	11494.0	11.493	11.493	11.493	248.0	FastEthernet0/0	6872.0	14300.0	1.0	344335.0	1262896.0	189.0	126.0	61.0
yemassee	augusta	3	IpWildcardIpSpace{ipWildcard=100.0.21.0/24}	unsat	32282	63315	50427.0	50122.0	50122.0	50122.0	50.121	50.121	50.121	240.0	FastEthernet0/0	6872.0	14300.0	1.0	439487.0	1600460.0	189.0	126.0	61.0
augusta	yemassee	1	IpWildcardIpSpace{ipWildcard=100.0.22.0/24}	unsat	2375	13648	3202.0	2919.0	2919.0	2919.0	2.918	2.918	2.918	215.0	FastEthernet0/0	6872.0	14300.0	0.0	251933.0	478278.0	189.0	126.0	61.0
augusta	yemassee	2	IpWildcardIpSpace{ipWildcard=100.0.22.0/24}	unsat	8016	26220	12187.0	11883.0	11883.0	11883.0	11.883	11.883	11.883	237.0	FastEthernet0/0	6872.0	14300.0	1.0	251329.0	574765.0	189.0	126.0	61.0
augusta	yemassee	3	IpWildcardIpSpace{ipWildcard=100.0.22.0/24}	unsat	32735	62570	54646.0	54361.0	54361.0	54361.0	54.36	54.36	54.36	224.0	FastEthernet0/0	6872.0	14300.0	1.0	193639.0	463679.0	189.0	126.0	61.0
columbia	augusta	1	IpWildcardIpSpace{ipWildcard=100.0.21.0/24}	unsat	2058	13328	3075.0	2813.0	2813.0	2813.0	2.813	2.813	2.813	207.0	FastEthernet0/0	6872.0	14301.0	1.0	185342.0	415348.0	189.0	126.0	62.0
columbia	augusta	2	IpWildcardIpSpace{ipWildcard=100.0.21.0/24}	unsat	6253	18798	10255.0	9976.0	9976.0	9976.0	9.975	9.975	9.975	218.0	FastEthernet0/0	6872.0	14301.0	1.0	182350.0	447794.0	189.0	126.0	62.0
columbia	augusta	3	IpWildcardIpSpace{ipWildcard=100.0.21.0/24}	unsat	30740	56983	47178.0	46897.0	46897.0	46897.0	46.896	46.896	46.896	217.0	FastEthernet0/0	6872.0	14301.0	1.0	184191.0	459247.0	189.0	126.0	62.0
augusta	columbia	1	IpWildcardIpSpace{ipWildcard=100.0.109.0/24}	unsat	2023	12635	3329.0	3052.0	3052.0	3052.0	3.051	3.051	3.051	220.0	FastEthernet0/0	6872.0	14302.0	1.0	226158.0	648841.0	189.0	126.0	62.0
augusta	columbia	2	IpWildcardIpSpace{ipWildcard=100.0.109.0/24}	unsat	6937	21551	11119.0	10851.0	10851.0	10851.0	10.851	10.851	10.851	211.0	FastEthernet0/0	6872.0	14302.0	0.0	171501.0	409076.0	189.0	126.0	62.0
augusta	columbia	3	IpWildcardIpSpace{ipWildcard=100.0.109.0/24}	unsat	39882	65065	58349.0	58063.0	58063.0	58063.0	58.063	58.063	58.063	227.0	FastEthernet0/0	6872.0	14302.0	1.0	208601.0	464764.0	189.0	126.0	62.0
yemassee	columbia	1	IpWildcardIpSpace{ipWildcard=100.0.109.0/24}	unsat	2129	14203	3033.0	2767.0	2767.0	2767.0	2.766	2.766	2.766	211.0	FastEthernet0/0	6872.0	14302.0	0.0	161506.0	390021.0	189.0	126.0	62.0
