src_node	dst_node	tolerance	dstIps	sat/unsat	Conflicts	Decisions	TotalTime	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints	MincutTime	PruneTime	CompressionTime	ToleranceOrigin	TolerancePrune	ToleranceCompression
yemassee	augusta	1	IpWildcardIpSpace{ipWildcard=100.0.21.0/24}	unsat	1962	12730	3323.0	3046.0	3046.0	3046.0	3.045	3.045	3.045	217.0	FastEthernet0/0	6872.0	14458.0	1.0	241468.0	670556.0	189.0	126.0	61.0
yemassee	augusta	2	IpWildcardIpSpace{ipWildcard=100.0.21.0/24}	unsat	8345	23453	12995.0	12715.0	12715.0	12715.0	12.715	12.715	12.715	215.0	FastEthernet0/0	6872.0	14458.0	1.0	213859.0	539985.0	189.0	126.0	61.0
yemassee	augusta	3	IpWildcardIpSpace{ipWildcard=100.0.21.0/24}	unsat	35350	63269	51581.0	51311.0	51311.0	51311.0	51.31	51.31	51.31	208.0	FastEthernet0/0	6872.0	14458.0	1.0	167453.0	420646.0	189.0	126.0	61.0
augusta	yemassee	1	IpWildcardIpSpace{ipWildcard=100.0.22.0/24}	unsat	2089	12358	3626.0	3321.0	3321.0	3321.0	3.32	3.32	3.32	237.0	FastEthernet0/0	6872.0	14458.0	1.0	230817.0	579094.0	189.0	126.0	61.0
augusta	yemassee	2	IpWildcardIpSpace{ipWildcard=100.0.22.0/24}	unsat	7199	21284	10059.0	9758.0	9758.0	9758.0	9.758	9.758	9.758	237.0	FastEthernet0/0	6872.0	14458.0	0.0	177164.0	423382.0	189.0	126.0	61.0
augusta	yemassee	3	IpWildcardIpSpace{ipWildcard=100.0.22.0/24}	unsat	31559	61184	49802.0	49509.0	49509.0	49509.0	49.509	49.509	49.509	227.0	FastEthernet0/0	6872.0	14458.0	1.0	239052.0	651956.0	189.0	126.0	61.0
columbia	augusta	1	IpWildcardIpSpace{ipWildcard=100.0.21.0/24}	unsat	1908	10455	3102.0	2831.0	2831.0	2831.0	2.83	2.83	2.83	210.0	FastEthernet0/0	6872.0	14459.0	0.0	200053.0	448125.0	189.0	126.0	62.0
columbia	augusta	2	IpWildcardIpSpace{ipWildcard=100.0.21.0/24}	unsat	6824	22002	11298.0	11028.0	11028.0	11028.0	11.027	11.027	11.027	211.0	FastEthernet0/0	6872.0	14459.0	0.0	178859.0	547862.0	189.0	126.0	62.0
columbia	augusta	3	IpWildcardIpSpace{ipWildcard=100.0.21.0/24}	unsat	32914	59433	52613.0	52350.0	52350.0	52350.0	52.35	52.35	52.35	206.0	FastEthernet0/0	6872.0	14459.0	1.0	171148.0	426015.0	189.0	126.0	62.0
augusta	columbia	1	IpWildcardIpSpace{ipWildcard=100.0.109.0/24}	unsat	2053	15077	2906.0	2634.0	2634.0	2634.0	2.633	2.633	2.633	213.0	FastEthernet0/0	6872.0	14460.0	1.0	170992.0	400022.0	189.0	126.0	62.0
augusta	columbia	2	IpWildcardIpSpace{ipWildcard=100.0.109.0/24}	unsat	6836	20149	11379.0	11089.0	11089.0	11089.0	11.089	11.089	11.089	223.0	FastEthernet0/0	6872.0	14460.0	1.0	176580.0	439464.0	189.0	126.0	62.0
augusta	columbia	3	IpWildcardIpSpace{ipWildcard=100.0.109.0/24}	unsat	32528	55717	48273.0	47994.0	47994.0	47994.0	47.993	47.993	47.993	220.0	FastEthernet0/0	6872.0	14460.0	0.0	189692.0	483134.0	189.0	126.0	62.0
yemassee	columbia	1	IpWildcardIpSpace{ipWildcard=100.0.109.0/24}	unsat	2026	14006	3290.0	3009.0	3009.0	3009.0	3.008	3.008	3.008	213.0	FastEthernet0/0	6872.0	14460.0	0.0	165194.0	374543.0	189.0	126.0	62.0
yemassee	columbia	2	IpWildcardIpSpace{ipWildcard=100.0.109.0/24}	unsat	6866	23070	10169.0	9907.0	9907.0	9907.0	9.906	9.906	9.906	207.0	FastEthernet0/0	6872.0	14460.0	1.0	170418.0	395184.0	189.0	126.0	62.0
